,code_ibge,city_name,city_latitude,city_longitude,capital_flag,phone_code,time_zone,state,state_name,state_latitude,state_longitude,region
0,5200050,ABADIA DE GOIÁS,-16.7573,-49.4412,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
1,5200100,ABADIÂNIA,-16.197,-48.7057,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
2,5200134,ACREÚNA,-17.396,-50.3749,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
3,5200159,ADELÂNDIA,-16.4127,-50.1657,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
4,5200175,ÁGUA FRIA DE GOIÁS,-14.9778,-47.7823,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5,5200209,ÁGUA LIMPA,-18.0771,-48.7603,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
6,5200258,ÁGUAS LINDAS DE GOIÁS,-15.7617,-48.2816,0,61,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
7,5200308,ALEXÂNIA,-16.0834,-48.5076,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
8,5200506,ALOÂNDIA,-17.7292,-49.4769,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
9,5200555,ALTO HORIZONTE,-14.1978,-49.3378,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
10,5200605,ALTO PARAÍSO DE GOIÁS,-14.1305,-47.51,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
11,5200803,ALVORADA DO NORTE,-14.4797,-46.491,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
12,5200829,AMARALINA,-13.9236,-49.2962,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
13,5200852,AMERICANO DO BRASIL,-16.2514,-49.9831,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
14,5200902,AMORINÓPOLIS,-16.6151,-51.0919,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
15,5201108,ANÁPOLIS,-16.3281,-48.953,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
16,5201207,ANHANGUERA,-18.3339,-48.2204,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
17,5201306,ANICUNS,-16.4642,-49.9617,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
18,5201405,APARECIDA DE GOIÂNIA,-16.8198,-49.2469,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
19,5201454,APARECIDA DO RIO DOCE,-18.2941,-51.1516,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
20,5201504,APORÉ,-18.9607,-51.9232,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
21,5201603,ARAÇU,-16.3563,-49.6804,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
22,5201702,ARAGARÇAS,-15.8955,-52.2372,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
23,5201801,ARAGOIÂNIA,-16.9087,-49.4476,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
24,5202155,ARAGUAPAZ,-15.0909,-50.6315,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
25,5202353,ARENÓPOLIS,-16.3837,-51.5563,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
26,5202502,ARUANÃ,-14.9166,-51.075,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
27,5202601,AURILÂNDIA,-16.6773,-50.4641,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
28,5202809,AVELINÓPOLIS,-16.4672,-49.7579,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
29,5203104,BALIZA,-16.1966,-52.5393,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
30,5203203,BARRO ALTO,-14.9658,-48.9086,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
31,5203302,BELA VISTA DE GOIÁS,-16.9693,-48.9513,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
32,5203401,BOM JARDIM DE GOIÁS,-16.2063,-52.1728,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
33,5203500,BOM JESUS DE GOIÁS,-18.2173,-49.74,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
34,5203559,BONFINÓPOLIS,-16.6173,-48.9616,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
35,5203575,BONÓPOLIS,-13.6329,-49.8106,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
36,5203609,BRAZABRANTES,-16.4281,-49.3863,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
37,5203807,BRITÂNIA,-15.2428,-51.1602,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
38,5203906,BURITI ALEGRE,-18.1378,-49.0404,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
39,5203939,BURITI DE GOIÁS,-16.1792,-50.4302,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
40,5203962,BURITINÓPOLIS,-14.4772,-46.4076,0,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
41,5204003,CABECEIRAS,-15.7995,-46.9265,0,61,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
42,5204102,CACHOEIRA ALTA,-18.7618,-50.9432,0,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
